,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott
0047_KNNBaseline_item_msd,998957,6034,3706,6 user sample,KNNBaseline_item_msd,0.8855441854818382,0.00031487635952598403,0.8853742304909511,0.00014492136863886174,1.0107620891800155,0.1255327800577033,1.0107620891800155,0.1255327800577033,0.7920641356784255,-7.074541580665006e-05,0.7921955308187467,6.064972451458317e-05,0.6772869943141699,-0.11484788678006219,0.6772869943141699,-0.11484788678006219,0.7835994151714349,0.7836905633961998,0.6989399936852297,0.6989399936852297,0.9084853446897112,0.9085152117524512,0.878472914363525,0.878472914363525,29.969617748260497,29.969617748260497,29.969617748260497,29.969617748260497,252.6692018032074,457.52235703468324,460.55077838897705,460.56260414123534,200041.8,199791.4,250.4,250.4
0047_SVD,998957,6034,3706,6 user sample,SVD,0.8736339788141304,-0.0007625757564524438,0.8734573254809694,-0.0009392290896134137,1.003391186758228,0.12899463218764506,1.003391186758228,0.12899463218764506,0.7937933647154503,0.00010649325273837107,0.7939387612073828,0.00025188974467094116,0.6668055865244256,-0.12688128493828632,0.6668055865244256,-0.12688128493828632,0.7854495882750789,0.785563679995744,0.6794657731538244,0.6794657731538244,0.909622229938466,0.9096597306921991,0.8719395172601191,0.8719395172601191,111.67131681442261,111.67131681442261,111.67131681442261,111.67131681442261,55.72967705726624,84.17418413162231,89.7804205417633,89.79117469787597,200041.8,199791.4,250.4,250.4
0048_KNNBaseline_item_msd,998613,6034,3706,6 user sample,KNNBaseline_item_msd,0.8853812050618428,0.00015189593953057745,0.8853091968011562,7.988767884392622e-05,0.9290071293274045,0.043777820205092244,0.9290071293274045,0.043777820205092244,0.7909832327185107,-0.001151648375721459,0.7910782323278804,-0.0010566487663516977,0.6815396000740781,-0.11059528102015403,0.6815396000740781,-0.11059528102015403,0.7830130711920724,0.7831010800275271,0.6957476637332581,0.6957476637332581,0.9081629387467718,0.908179294632695,0.8917226339369663,0.8917226339369663,31.450626277923583,31.450626277923583,31.450626277923583,31.450626277923583,252.65084347724914,461.12106146812437,464.3009454727173,464.31116523742674,200041.8,199722.6,319.2,319.2
0048_SVD,998613,6034,3706,6 user sample,SVD,0.8743543525466585,-4.220202392435368e-05,0.874275884554773,-0.00012067001580984282,0.9217980648504224,0.04740151027983952,0.9217980648504224,0.04740151027983952,0.7929659381062197,-0.0007209333564921483,0.7930611373769209,-0.0006257340857910298,0.6808563886075344,-0.1128304828551775,0.6808563886075344,-0.1128304828551775,0.7853915452961105,0.7854625826058457,0.7121444237046223,0.7121444237046223,0.9094244504117259,0.9094416327820026,0.8921534046803826,0.8921534046803826,116.82310709953308,116.82310709953308,116.82310709953308,116.82310709953308,60.32442364692688,99.08718819618225,103.53263382911682,103.54704298973084,200041.8,199722.6,319.2,319.2
0049_KNNBaseline_item_msd,999719,6034,3706,6 user sample,KNNBaseline_item_msd,0.885397347223925,0.00016803810161281074,0.8853928993047834,0.00016359018247114054,0.8941715843308998,0.008942275208587591,0.8941715843308998,0.008942275208587591,0.790646649494286,-0.0014882315999461548,0.7906796529400915,-0.0014552281541406753,0.7584321407530885,-0.03370274034114362,0.7584321407530885,-0.03370274034114362,0.7827827040554937,0.7828175367956337,0.7467824712667085,0.7467824712667085,0.9081310362969187,0.9081407715319509,0.8983433081396406,0.8983433081396406,30.57746057510376,30.57746057510376,30.57746057510376,30.57746057510376,256.77289328575137,461.1525269031525,464.54672904014586,464.5512541770935,200041.8,199943.8,98.0,98.0
0049_SVD,999719,6034,3706,6 user sample,SVD,0.8732906166111004,-0.0011059379594824392,0.8732800811204369,-0.0011164734501459828,0.8942779820505787,0.019881427479995883,0.8942779820505787,0.019881427479995883,0.7940742951526947,0.000387423689982791,0.794107228441184,0.00042035697847209175,0.7610146022778387,-0.032672269184873204,0.7610146022778387,-0.032672269184873204,0.7862138113038162,0.7862517419007491,0.7473950588106476,0.7473950588106476,0.9097886936533843,0.9098014835054352,0.8969302644672638,0.8969302644672638,112.24410676956177,112.24410676956177,112.24410676956177,112.24410676956177,72.48303809165955,106.54512505531311,110.33958888053894,110.34493627548218,200041.8,199943.8,98.0,98.0
0050_KNNBaseline_item_msd,999741,6034,3706,6 user sample,KNNBaseline_item_msd,0.8852813531427751,5.204402046288248e-05,0.8851390703444956,-9.023877781666467e-05,1.147590219928738,0.26236091080642576,1.147590219928738,0.26236091080642576,0.7917074781601622,-0.00042740293406995367,0.7917280348769532,-0.00040684621727893333,0.7572168770779701,-0.034918004016261994,0.7572168770779701,-0.034918004016261994,0.7843891613998724,0.7844335902530186,0.7314474262554624,0.7314474262554624,0.9086441931727732,0.9086863993763503,0.8662183772382793,0.8662183772382793,29.573627281188966,29.573627281188966,29.573627281188966,29.573627281188966,274.5958513736725,479.7064175605774,483.99811420440676,484.00350761413574,200041.8,199948.2,93.6,93.6
0050_SVD,999741,6034,3706,6 user sample,SVD,0.8737278324944029,-0.0006687220761799617,0.8735860434652156,-0.0008105111053672287,1.135216315586111,0.2608197610155282,1.135216315586111,0.2608197610155282,0.7931534659187195,-0.0005334055439923935,0.7931712263966043,-0.0005156450661075729,0.76318126143668,-0.030505610026031915,0.76318126143668,-0.030505610026031915,0.7857516014342354,0.7857803766350329,0.7518177255552678,0.7518177255552678,0.9095222958697036,0.9095684225269809,0.8631554705014196,0.8631554705014196,112.66854100227356,112.66854100227356,112.66854100227356,112.66854100227356,63.160613489151004,101.65614681243896,104.9525055885315,104.95669083595276,200041.8,199948.2,93.6,93.6
0051_KNNBaseline_item_msd,999469,6034,3706,6 user sample,KNNBaseline_item_msd,0.8854900250866408,0.0002607159643285284,0.8851659989436292,-6.331017868299593e-05,1.247007006214972,0.36177769709265983,1.247007006214972,0.36177769709265983,0.7919545372813299,-0.00018034381290221724,0.7919385928140824,-0.00019628828014972566,0.8004460863154554,0.008311205221223306,0.8004460863154554,0.008311205221223306,0.783211937197043,0.7831991233661775,0.7953590251465973,0.7953590251465973,0.9083977474454603,0.9084004579430566,0.90567158712127,0.90567158712127,27.48594551086426,27.48594551086426,27.48594551086426,27.48594551086426,247.69777383804322,438.2355426311493,441.3551812171936,441.3605975151062,200041.8,199893.8,148.0,148.0
0051_SVD,999469,6034,3706,6 user sample,SVD,0.8736875785213828,-0.0007089760492000607,0.8733625369074274,-0.0010340176631554732,1.235631922927969,0.36123536835738623,1.235631922927969,0.36123536835738623,0.793481882095231,-0.00020498936748092333,0.7934747787288476,-0.0002120927338642442,0.7901101138631211,-0.003576757599590752,0.7901101138631211,-0.003576757599590752,0.7851705691107621,0.7851605726171755,0.7942151837236562,0.7942151837236562,0.9096301597434848,0.9096287038284954,0.9110928218143707,0.9110928218143707,114.62114958763122,114.62114958763122,114.62114958763122,114.62114958763122,66.9190510749817,103.14253940582276,107.04918103218078,107.06008710861207,200041.8,199893.8,148.0,148.0
0052_KNNBaseline_item_msd,998690,6034,3706,6 user sample,KNNBaseline_item_msd,0.8859314824385713,0.0007021733162591026,0.8857207806929264,0.0004914715706141326,1.0145602580868183,0.12933094896450603,1.0145602580868183,0.12933094896450603,0.7907297559527722,-0.001405125141459962,0.7907366509000442,-0.0013982301941879438,0.779114006836864,-0.013020874257368087,0.779114006836864,-0.013020874257368087,0.7827029554032637,0.7827008930479463,0.7843810878704722,0.7843810878704722,0.908177902919818,0.908191357976459,0.8946516790664066,0.8946516790664066,27.704884576797486,27.704884576797486,27.704884576797486,27.704884576797486,245.0935546398163,445.93664727211,449.165465259552,449.1766861915588,200041.8,199738.0,303.8,303.8
0052_SVD,998690,6034,3706,6 user sample,SVD,0.874248822218879,-0.00014773235170384424,0.874026109262449,-0.0003704453081339043,1.0095225794280136,0.13512602485743075,1.0095225794280136,0.13512602485743075,0.7929922054178528,-0.0006946660448591269,0.7930249193228407,-0.0006619521398711914,0.7546430844181442,-0.03904378704456768,0.7546430844181442,-0.03904378704456768,0.7847896692308814,0.7848070104400094,0.7672207003029465,0.7672207003029465,0.9094564648887632,0.909467794249544,0.8980688459815465,0.8980688459815465,120.98226952552795,120.98226952552795,120.98226952552795,120.98226952552795,62.914333534240725,94.44180498123168,99.52709083557129,99.53673853874207,200041.8,199738.0,303.8,303.8
0053_KNNBaseline_item_msd,999312,6034,3706,6 user sample,KNNBaseline_item_msd,0.8852219140920259,-7.395030286350135e-06,0.8850535426346269,-0.00017576648768535819,1.0552828334169329,0.17005352429462062,1.0552828334169329,0.17005352429462062,0.7913140009308449,-0.0008208801633872165,0.7913377267366148,-0.0007971543576172913,0.7704748879831909,-0.021659993111041276,0.7704748879831909,-0.021659993111041276,0.7828088255802345,0.7828396134422848,0.7467289089401584,0.7467289089401584,0.9078866588840132,0.907908666200193,0.8857742799029118,0.8857742799029118,27.610331296920776,27.610331296920776,27.610331296920776,27.610331296920776,242.65842995643615,434.73580169677734,438.7327432155609,438.7422475337982,200041.8,199862.4,179.4,179.4
0053_SVD,999312,6034,3706,6 user sample,SVD,0.8739438966386226,-0.00045265793196025417,0.8737625043795862,-0.0006340501909966045,1.0559129827052405,0.18151642813465763,1.0559129827052405,0.18151642813465763,0.7933050759224187,-0.00038179554029316165,0.7933456438223484,-0.00034122764036348396,0.7577269124311903,-0.035959959031521604,0.7577269124311903,-0.035959959031521604,0.7846941889375867,0.7847361769460525,0.7345028907470927,0.7345028907470927,0.9091787362465036,0.9092006953702171,0.8871150145122375,0.8871150145122375,121.9481716632843,121.9481716632843,121.9481716632843,121.9481716632843,65.37994146347046,106.95377316474915,110.45262832641602,110.46211090087891,200041.8,199862.4,179.4,179.4
0054_KNNBaseline_item_msd,999466,6034,3706,6 user sample,KNNBaseline_item_msd,0.885177446575414,-5.186254689826253e-05,0.8850520633003078,-0.00017724582200440153,1.0384388133064324,0.15320950418412016,1.0384388133064324,0.15320950418412016,0.7914512212418331,-0.0006836598523990434,0.7915000104301404,-0.0006348706640917356,0.724969254046438,-0.06716562704779416,0.724969254046438,-0.06716562704779416,0.7830466097001271,0.7830444482114528,0.7848967356073995,0.7848967356073995,0.9080831156099185,0.9080959462986558,0.8951912358081415,0.8951912358081415,29.323127651214598,29.323127651214598,29.323127651214598,29.323127651214598,244.2565857410431,437.06451897621156,440.8389512062073,440.84705991744994,200041.8,199893.2,148.6,148.6
0054_SVD,999466,6034,3706,6 user sample,SVD,0.8736384136816824,-0.0007581408889004715,0.8735001149578159,-0.0008964396127669749,1.041389177702544,0.16699262313196106,1.041389177702544,0.16699262313196106,0.7934915257670082,-0.00019534569570367477,0.7935364506376736,-0.0001504208250382444,0.7315271274219902,-0.062159744040721665,0.7315271274219902,-0.062159744040721665,0.7851963475129637,0.7851845513596503,0.7966422976666133,0.7966422976666133,0.909195857999047,0.9092043414981479,0.9006726304802937,0.9006726304802937,115.49583601951599,115.49583601951599,115.49583601951599,115.49583601951599,65.02332983016967,96.96828937530518,100.71179904937745,100.7174825668335,200041.8,199893.2,148.6,148.6
